['hotelLabel' 'Villa Kennedy'],['countryLabel' 'Germany'],['hotel_ratingLabel' '5-star hotel rating'],['lat' '50.09728'],['lon' '8.66965']
['hotelLabel' 'Hotel Heymann'],['countryLabel' 'Germany'],['hotel_ratingLabel' '3-star hotel rating'],['lat' '49.44486'],['lon' '7.76534']
['hotelLabel' 'Romantik Hotel Gutshaus Ludorf'],['countryLabel' 'Germany'],['hotel_ratingLabel' '4-star hotel rating'],['lat' '53.37942'],['lon' '12.66977']
['hotelLabel' 'Villa Antonia'],['countryLabel' 'Germany'],['hotel_ratingLabel' '3-star hotel rating'],['lat' '51.17824'],['lon' '14.43426']
['hotelLabel' 'Gasthof Falkenstein - Metzgerei Schwaiger -'],['countryLabel' 'Germany'],['hotel_ratingLabel' '3-star hotel rating'],['lat' '47.72252'],['lon' '12.12585']
['hotelLabel' 'Hotel Am Kaisersaal'],['countryLabel' 'Germany'],['hotel_ratingLabel' '3-star hotel rating'],['lat' '50.97887'],['lon' '11.03268']
['hotelLabel' 'City Hotel am Wasserturm'],['countryLabel' 'Germany'],['email_address' 'mailto:info@city-hotel-halle.de'],['phone_number' '+49-345-29820'],"['street_address' 'Lessingstraße 8, 06114 Halle (Saale)']","['image'
 'http://commons.wikimedia.org/wiki/Special:FilePath/HAL-Lessingstr08%20CityHotel.JPG']",['official_website' 'https://city-hotel-halle.de/'],['hotel_ratingLabel' '4-star hotel rating'],['lat' '51.49166'],['lon' '11.97717'],['fax_number' '+49-345-5126543']
['hotelLabel' 'Wessinger'],['countryLabel' 'Germany'],['hotel_ratingLabel' '4-star hotel rating'],['lat' '50.05609'],['lon' '8.67617']
['hotelLabel' 'Landhotel Pfrondorfer Mühle'],['countryLabel' 'Germany'],['hotel_ratingLabel' '4-star hotel rating'],['lat' '48.58856'],['lon' '8.73181']
['hotelLabel' 'Panorama Berghotel Wettiner Höhe'],['countryLabel' 'Germany'],['hotel_ratingLabel' '4-star hotel rating'],['lat' '50.65101'],['lon' '13.4408']
